actor,atk_margin,atk_overflow,atk_roll,atk_skill_before,atk_skill_gain,atk_xp,combat,def_margin,def_overflow,def_roll,def_skill_before,def_skill_gain,def_xp,defender,effect,effect_mag_after_ad,effect_tier,exchange,hp_after_actor,hp_after_defender,hp_damage,location_index,outcome,skill,tag_check,zone
Alpha,,8,92,29,2,63,153,,42,92,37,1,55,Beta,Inflict Injury,,,66,592,440,,,repeat,Attack,,
Alpha,,0,39,29,0,10,153,,0,41,38,0,3,Beta,Grappled,,,67,592,440,,,repeat,Grapple,,
Alpha,16,0,15,31,0,0,153,5,0,33,38,0,0,Beta,Prone,1,2,68,592,440,,51,attacker-wins,Trip,pass,Arms
Alpha,8,0,20,28,0,0,153,8,0,30,38,0,0,Beta,Disarm,,,69,592,440,,,repeat,Disarm,,
Alpha,23,0,4,27,0,0,153,22,0,16,38,0,0,Beta,Equipment Damage,1,2,70,592,440,,40,attacker-wins,Equipment Damage,pass,Torso
Beta,,0,38,32,0,6,153,,0,63,36,0,27,Alpha,Inflict Injury,,,71,440,592,,,repeat,Attack,,
Beta,,0,38,27,0,11,153,8,0,28,36,0,0,Alpha,Grappled,,,72,440,592,,,defender-wins,Grapple,,
Beta,,0,43,30,0,13,153,7,0,29,36,0,0,Alpha,Prone,,,73,440,592,,,defender-wins,Trip,,
Beta,27,0,5,32,0,0,153,,0,37,36,0,1,Alpha,Disarm,,2,74,440,565,27,50,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,36,27,0,9,153,,0,96,36,1,60,Alpha,Equipment Damage,,,75,440,565,,,repeat,Equipment Damage,,
Alpha,,0,40,31,0,9,153,37,0,1,38,0,0,Beta,Inflict Injury,,,76,565,440,,,defender-wins,Attack,,
Alpha,,0,83,29,1,54,153,,0,58,38,0,20,Beta,Grappled,,,77,565,440,,,repeat,Grapple,,
Alpha,,13,94,31,2,63,153,,0,91,38,1,53,Beta,Prone,,,78,552,440,,,repeat,Trip,,
Alpha,17,0,11,28,0,0,153,12,0,27,39,0,0,Beta,Disarm,,2,79,552,435,5,11,attacker-wins,Disarm,fail-and-fall-back,Legs
Alpha,,4,93,27,2,66,153,14,0,25,39,0,0,Beta,Equipment Damage,,,80,548,435,,,defender-wins,Equipment Damage,,
Beta,7,0,25,32,0,0,153,,0,44,37,0,7,Alpha,Inflict Injury,,,81,435,541,7,,attacker-wins,Attack,,
Beta,,0,34,27,0,7,153,,17,73,37,0,36,Alpha,Grappled,,,82,435,524,,,repeat,Grapple,,
Beta,,0,96,30,2,66,153,,43,93,37,1,56,Alpha,Prone,,,83,435,481,,,repeat,Trip,,
Beta,,0,80,32,1,48,153,23,0,15,38,0,0,Alpha,Disarm,,,84,435,481,,,defender-wins,Disarm,,
Beta,,0,41,27,0,14,153,1,0,37,38,0,0,Alpha,Equipment Damage,,,85,435,481,,,defender-wins,Equipment Damage,,
Alpha,8,0,23,31,0,0,153,34,0,5,39,0,0,Beta,Inflict Injury,,,86,481,435,,,defender-wins,Attack,,
Alpha,,0,100,30,2,70,153,36,0,3,39,0,0,Beta,Grappled,,,87,481,435,,,defender-wins,Grapple,,
Alpha,,0,58,33,0,25,153,,0,82,39,1,43,Beta,Prone,,,88,481,435,,,repeat,Trip,,
Alpha,,0,38,28,0,10,153,,0,42,40,0,2,Beta,Disarm,,,89,481,435,,,repeat,Disarm,,
Alpha,3,0,26,29,0,0,153,37,0,3,40,0,0,Beta,Equipment Damage,,,90,481,435,,,defender-wins,Equipment Damage,,
Beta,3,0,29,32,0,0,153,,0,70,38,0,32,Alpha,Inflict Injury,,,91,435,478,3,,attacker-wins,Attack,,
Beta,,0,64,27,1,37,153,32,0,6,38,0,0,Alpha,Grappled,,,92,435,478,,,defender-wins,Grapple,,
Beta,,0,85,32,1,53,153,,0,47,38,0,9,Alpha,Prone,,,93,435,478,,,repeat,Trip,,
Beta,6,0,27,33,0,0,153,,0,74,38,0,36,Alpha,Disarm,,2,94,435,472,6,72,attacker-wins,Disarm,fail-and-fall-back,Arms
Beta,,0,45,27,0,18,153,28,0,10,38,0,0,Alpha,Equipment Damage,,,95,435,472,,,defender-wins,Equipment Damage,,
Alpha,13,0,18,31,0,0,153,,0,44,40,0,4,Beta,Inflict Injury,,,96,472,422,13,,attacker-wins,Attack,,
Alpha,,0,72,32,1,40,153,4,0,36,40,0,0,Beta,Grappled,,,97,472,422,,,defender-wins,Grapple,,
Alpha,21,0,12,33,0,0,153,,0,56,40,0,16,Beta,Prone,1,2,98,472,422,,21,attacker-wins,Trip,pass,Legs
Alpha,21,0,7,28,0,0,153,2,0,38,40,0,0,Beta,Disarm,,2,99,472,403,19,70,attacker-wins,Disarm,fail-and-fall-back,Arms
Alpha,,0,75,29,1,46,153,,0,92,40,1,52,Beta,Equipment Damage,,,100,472,403,,,repeat,Equipment Damage,,
Beta,30,0,2,32,0,0,153,30,0,8,38,0,0,Alpha,Inflict Injury,,,101,403,472,,,repeat,Attack,,
Beta,,0,82,28,1,54,153,28,0,10,38,0,0,Alpha,Grappled,,,102,403,472,,,defender-wins,Grapple,,
Beta,,0,98,33,1,65,153,,0,79,38,1,41,Alpha,Prone,,,103,403,472,,,repeat,Trip,,
Beta,,3,73,33,1,40,153,,0,48,39,0,9,Alpha,Disarm,,,104,400,472,,,repeat,Disarm,,
Beta,,29,79,27,1,52,153,,0,63,39,0,24,Alpha,Equipment Damage,,,105,371,472,,,repeat,Equipment Damage,,
Alpha,,0,47,31,0,16,153,,10,60,41,0,19,Beta,Inflict Injury,,,106,472,361,,,repeat,Attack,,
Alpha,,0,83,33,1,50,153,27,0,14,41,0,0,Beta,Grappled,,,107,472,361,,,defender-wins,Grapple,,
Alpha,20,0,13,33,0,0,153,,0,77,41,0,36,Beta,Prone,1,2,108,472,361,,31,attacker-wins,Trip,pass,Torso
Alpha,13,0,15,28,0,0,153,,30,89,41,1,48,Beta,Disarm,,2,109,472,318,13,51,attacker-wins,Disarm,fail-and-fall-back,Arms
Alpha,,0,76,30,1,46,153,,10,60,42,0,18,Beta,Equipment Damage,,,110,472,308,,,repeat,Equipment Damage,,
Beta,20,0,12,32,0,0,153,6,0,33,39,0,0,Alpha,Inflict Injury,,,111,308,458,14,,attacker-wins,Attack,,
Beta,,0,78,29,1,49,153,,0,82,39,1,43,Alpha,Grappled,,,112,308,458,,,repeat,Grapple,,
Beta,16,0,18,34,0,0,153,,0,46,40,0,6,Alpha,Prone,1,2,113,308,458,,81,attacker-wins,Trip,pass,Head
Beta,,0,51,34,0,17,153,,0,70,40,0,30,Alpha,Disarm,,,114,308,458,,,repeat,Disarm,,
Beta,,6,97,28,2,69,153,,0,60,40,0,20,Alpha,Equipment Damage,,,115,302,458,,,repeat,Equipment Damage,,
Alpha,18,0,13,31,0,0,153,,12,62,42,0,20,Beta,Inflict Injury,,,116,458,272,18,,attacker-wins,Attack,,
Alpha,8,0,26,34,0,0,153,,50,100,42,1,58,Beta,Grappled,1,2,117,458,222,,62,attacker-wins,Grapple,pass,Arms
Alpha,,0,77,33,1,44,153,4,0,39,43,0,0,Beta,Prone,,,118,458,222,,,defender-wins,Trip,,
Alpha,,0,59,28,1,31,153,,19,80,43,0,37,Beta,Disarm,,,119,458,203,,,repeat,Disarm,,
Alpha,,0,74,31,1,43,153,,22,72,43,0,29,Beta,Equipment Damage,,,120,458,181,,,repeat,Equipment Damage,,
Beta,,20,70,32,1,38,153,,0,53,40,0,13,Alpha,Inflict Injury,,,121,161,458,,,repeat,Attack,,
Beta,,30,80,30,1,50,153,14,0,26,40,0,0,Alpha,Grappled,,,122,131,458,,,defender-wins,Grapple,,
Beta,,25,75,34,1,41,153,19,0,21,40,0,0,Alpha,Prone,,,123,106,458,,,defender-wins,Trip,,
Beta,,4,54,34,0,20,153,,0,87,40,1,47,Alpha,Disarm,,,124,102,458,,,repeat,Disarm,,
Beta,,20,70,30,1,40,153,10,0,31,41,0,0,Alpha,Equipment Damage,,,125,82,458,,,defender-wins,Equipment Damage,,
Alpha,,0,93,31,1,62,153,,25,75,43,0,32,Beta,Inflict Injury,,,126,458,57,,,repeat,Attack,,
Alpha,,0,53,34,0,19,153,37,0,6,43,0,0,Beta,Grappled,,,127,458,57,,,defender-wins,Grapple,,
Alpha,,23,93,34,1,59,153,42,0,1,43,0,0,Beta,Prone,,,128,435,57,,,defender-wins,Trip,,
Alpha,15,0,14,29,0,0,153,,0,77,43,0,34,Beta,Disarm,,2,129,435,42,15,41,attacker-wins,Disarm,fail-and-fall-back,Torso
Alpha,28,0,4,32,0,0,153,,0,91,43,1,48,Beta,Equipment Damage,1,2,130,435,42,,40,attacker-wins,Equipment Damage,pass,Torso
Beta,,0,49,33,0,16,153,,0,74,41,0,33,Alpha,Inflict Injury,,,131,42,435,,,repeat,Attack,,
Beta,17,0,14,31,0,0,153,,0,51,41,0,10,Alpha,Grappled,1,2,132,42,435,,41,attacker-wins,Grapple,pass,Torso
Beta,,0,70,35,1,35,153,,0,99,41,1,58,Alpha,Prone,,,133,42,435,,,repeat,Trip,,
Beta,,0,39,34,0,5,153,,21,79,42,0,37,Alpha,Disarm,,,134,42,414,,,repeat,Disarm,,
Beta,29,0,2,31,0,0,153,,0,49,42,0,7,Alpha,Equipment Damage,,2,135,42,385,29,20,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,,34,85,32,1,53,153,32,0,12,44,0,0,Beta,Inflict Injury,,,136,351,42,,,defender-wins,Attack,,
Alpha,,44,94,34,1,60,153,37,0,7,44,0,0,Beta,Grappled,,,137,307,42,,,defender-wins,Grapple,,
Alpha,,18,68,35,0,33,153,17,0,27,44,0,0,Beta,Prone,,,138,289,42,,,defender-wins,Trip,,
Alpha,,34,84,29,1,55,153,,0,52,44,0,8,Beta,Disarm,,,139,255,42,,,repeat,Disarm,,
Alpha,,40,90,32,1,58,153,,0,70,44,0,26,Beta,Equipment Damage,,,140,215,42,,,repeat,Equipment Damage,,
Beta,16,0,17,33,0,0,153,,35,85,42,1,43,Alpha,Inflict Injury,,,141,42,164,16,,attacker-wins,Attack,,
Beta,25,0,6,31,0,0,153,,20,70,43,0,27,Alpha,Grappled,1,2,142,42,144,,60,attacker-wins,Grapple,pass,Arms
Beta,10,0,26,36,0,0,153,2,0,41,43,0,0,Alpha,Prone,1,2,143,42,144,,62,attacker-wins,Trip,pass,Arms
Beta,,0,78,34,1,44,153,7,0,36,43,0,0,Alpha,Disarm,,,144,42,144,,,defender-wins,Disarm,,
Beta,,0,100,31,2,69,153,13,0,30,43,0,0,Alpha,Equipment Damage,,,145,42,144,,,defender-wins,Equipment Damage,,
Alpha,,0,87,33,1,54,153,,0,63,44,0,19,Beta,Inflict Injury,,,146,144,42,,,repeat,Attack,,
Alpha,17,0,18,35,0,0,153,,15,74,44,0,30,Beta,Grappled,1,2,147,144,27,,81,attacker-wins,Grapple,pass,Head
Alpha,,3,91,35,1,56,153,,18,68,44,0,24,Beta,Prone,,,148,141,9,,,repeat,Trip,,
Alpha,,37,87,30,1,57,153,,3,53,44,0,9,Beta,Disarm,,,149,104,6,,,repeat,Disarm,,
Alpha,,46,96,33,1,63,153,,39,89,44,1,45,Beta,Equipment Damage,,,150,58,-33,,,repeat,Equipment Damage,,
Alpha,,0,30,25,0,5,154,5,0,20,25,0,0,Beta,Inflict Injury,,,1,600,600,,,defender-wins,Attack,,
Alpha,,0,57,25,1,32,154,,0,96,25,2,71,Beta,Grappled,,,2,600,600,,,repeat,Grapple,,
Alpha,0,0,25,25,0,0,154,1,0,26,27,0,0,Beta,Prone,,,3,600,600,,,defender-wins,Trip,,
Alpha,,0,56,25,1,31,154,12,0,15,27,0,0,Beta,Disarm,,,4,600,600,,,defender-wins,Disarm,,
Alpha,,0,55,25,1,30,154,8,0,19,27,0,0,Beta,Equipment Damage,,,5,600,600,,,defender-wins,Equipment Damage,,
Beta,13,0,12,25,0,0,154,,0,59,25,1,34,Alpha,Inflict Injury,,,6,600,587,13,,attacker-wins,Attack,,
Beta,,0,59,25,1,34,154,21,0,5,26,0,0,Alpha,Grappled,,,7,600,587,,,defender-wins,Grapple,,
Beta,9,0,16,25,0,0,154,2,0,24,26,0,0,Alpha,Prone,1,2,8,600,587,,61,attacker-wins,Trip,pass,Arms
Beta,,0,55,25,1,30,154,,0,45,26,0,19,Alpha,Disarm,,,9,600,587,,,repeat,Disarm,,
Beta,19,0,6,25,0,0,154,,0,34,26,0,8,Alpha,Equipment Damage,1,2,10,600,587,,60,attacker-wins,Equipment Damage,pass,Arms
Alpha,,0,67,25,1,42,154,,0,88,27,2,61,Beta,Inflict Injury,,,11,587,600,,,repeat,Attack,,
Alpha,,0,95,26,2,69,154,,0,36,29,0,7,Beta,Grappled,,,12,587,600,,,repeat,Grapple,,
Alpha,,0,77,25,2,52,154,,0,33,29,0,4,Beta,Prone,,,13,587,600,,,repeat,Trip,,
Alpha,,5,66,26,1,40,154,,0,60,29,1,31,Beta,Disarm,,,14,582,600,,,repeat,Disarm,,
Alpha,,27,77,26,1,51,154,,0,54,30,0,24,Beta,Equipment Damage,,,15,555,600,,,repeat,Equipment Damage,,
Beta,,0,92,25,2,67,154,,43,93,26,2,67,Alpha,Inflict Injury,,,16,600,512,,,repeat,Attack,,
Beta,5,0,21,26,0,0,154,,17,67,28,1,39,Alpha,Grappled,1,2,17,600,495,,12,attacker-wins,Grapple,pass,Legs
Beta,,0,43,25,0,18,154,,0,32,29,0,3,Alpha,Prone,,,18,600,495,,,repeat,Trip,,
Beta,,0,44,26,0,18,154,,30,98,29,2,69,Alpha,Disarm,,,19,600,465,,,repeat,Disarm,,
Beta,,0,30,25,0,5,154,10,0,21,31,0,0,Alpha,Equipment Damage,,,20,600,465,,,defender-wins,Equipment Damage,,
Alpha,,0,60,26,1,34,154,,0,58,30,0,28,Beta,Inflict Injury,,,21,465,600,,,repeat,Attack,,
Alpha,,0,56,28,1,28,154,,0,48,30,0,18,Beta,Grappled,,,22,465,600,,,repeat,Grapple,,
Alpha,14,0,13,27,0,0,154,27,0,3,30,0,0,Beta,Prone,,,23,465,600,,,defender-wins,Trip,,
Alpha,,0,52,27,0,25,154,,0,87,30,1,57,Beta,Disarm,,,24,465,600,,,repeat,Disarm,,
Alpha,,0,89,27,2,62,154,,0,80,31,1,49,Beta,Equipment Damage,,,25,465,600,,,repeat,Equipment Damage,,
Beta,,0,66,27,1,39,154,21,0,10,31,0,0,Alpha,Inflict Injury,,,26,600,465,,,defender-wins,Attack,,
Beta,,12,79,26,2,53,154,,0,61,31,0,30,Alpha,Grappled,,,27,588,465,,,repeat,Grapple,,
Beta,22,0,3,25,0,0,154,,12,100,31,2,69,Alpha,Prone,1,2,28,588,453,,30,attacker-wins,Trip,pass,Torso
Beta,22,0,4,26,0,0,154,,0,41,33,0,8,Alpha,Disarm,,2,29,588,431,22,40,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,,0,54,25,1,29,154,15,0,18,33,0,0,Alpha,Equipment Damage,,,30,588,431,,,defender-wins,Equipment Damage,,
Alpha,,8,99,27,2,72,154,,0,56,32,0,24,Beta,Inflict Injury,,,31,423,588,,,repeat,Attack,,
Alpha,,7,57,29,0,28,154,,0,57,32,0,25,Beta,Grappled,,,32,416,588,,,repeat,Grapple,,
Alpha,,0,44,27,0,17,154,10,0,22,32,0,0,Beta,Prone,,,33,416,588,,,defender-wins,Trip,,
Alpha,,40,96,27,2,69,154,,0,48,32,0,16,Beta,Disarm,,,34,376,588,,,repeat,Disarm,,
Alpha,,20,70,29,1,41,154,,0,90,32,1,58,Beta,Equipment Damage,,,35,356,588,,,repeat,Equipment Damage,,
Beta,,0,47,28,0,19,154,,23,73,33,1,40,Alpha,Inflict Injury,,,36,588,333,,,repeat,Attack,,
Beta,,0,89,28,2,61,154,2,0,32,34,0,0,Alpha,Grappled,,,37,588,333,,,defender-wins,Grapple,,
Beta,1,0,24,25,0,0,154,20,0,14,34,0,0,Alpha,Prone,,,38,588,333,,,defender-wins,Trip,,
Beta,23,0,3,26,0,0,154,2,0,32,34,0,0,Alpha,Disarm,,2,39,588,312,21,30,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,10,0,16,26,0,0,154,,0,41,34,0,7,Alpha,Equipment Damage,1,2,40,588,312,,61,attacker-wins,Equipment Damage,pass,Arms
Alpha,,0,99,29,2,70,154,,0,36,33,0,3,Beta,Inflict Injury,,,41,312,588,,,repeat,Attack,,
Alpha,20,0,9,29,0,0,154,,0,43,33,0,10,Beta,Grappled,1,2,42,312,588,,90,attacker-wins,Grapple,pass,Head
Alpha,,0,83,27,2,56,154,19,0,14,33,0,0,Beta,Prone,,,43,312,588,,,defender-wins,Trip,,
Alpha,,0,65,29,1,36,154,,0,47,33,0,14,Beta,Disarm,,,44,312,588,,,repeat,Disarm,,
Alpha,29,0,1,30,0,0,154,,0,53,33,0,20,Beta,Equipment Damage,,2,45,312,559,29,10,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,,0,49,28,0,21,154,,0,68,34,1,34,Alpha,Inflict Injury,,,46,559,312,,,repeat,Attack,,
Beta,,0,76,30,1,46,154,,0,75,35,1,40,Alpha,Grappled,,,47,559,312,,,repeat,Grapple,,
Beta,17,0,8,25,0,0,154,,0,56,36,0,20,Alpha,Prone,1,2,48,559,312,,80,attacker-wins,Trip,pass,Head
Beta,24,0,2,26,0,0,154,18,0,18,36,0,0,Alpha,Disarm,,2,49,559,306,6,20,attacker-wins,Disarm,fail-and-fall-back,Legs
Beta,,0,62,26,1,36,154,,0,79,36,1,43,Alpha,Equipment Damage,,,50,559,306,,,repeat,Equipment Damage,,
Alpha,,16,94,31,2,63,154,,0,43,33,0,10,Beta,Inflict Injury,,,51,290,559,,,repeat,Attack,,
Alpha,,33,83,29,1,54,154,,0,92,33,1,59,Beta,Grappled,,,52,257,559,,,repeat,Grapple,,
Alpha,,37,87,29,1,58,154,,0,63,34,0,29,Beta,Prone,,,53,220,559,,,repeat,Trip,,
Alpha,,4,54,30,0,24,154,,0,74,34,1,40,Beta,Disarm,,,54,216,559,,,repeat,Disarm,,
Alpha,25,0,5,30,0,0,154,31,0,4,35,0,0,Beta,Equipment Damage,,,55,216,559,,,defender-wins,Equipment Damage,,
Beta,,0,93,28,2,65,154,,0,71,37,0,34,Alpha,Inflict Injury,,,56,559,216,,,repeat,Attack,,
Beta,2,0,29,31,0,0,154,,4,78,37,1,41,Alpha,Grappled,1,2,57,559,212,,92,attacker-wins,Grapple,pass,Head
Beta,,0,83,25,2,58,154,36,0,2,38,0,0,Alpha,Prone,,,58,559,212,,,defender-wins,Trip,,
Beta,,18,75,26,1,49,154,,0,46,38,0,8,Alpha,Disarm,,,59,541,212,,,repeat,Disarm,,
Beta,0,0,27,27,0,0,154,0,0,38,38,0,0,Alpha,Equipment Damage,,,60,541,212,,,repeat,Equipment Damage,,
Alpha,,0,88,33,1,55,154,,0,54,35,0,19,Beta,Inflict Injury,,,61,212,541,,,repeat,Attack,,
Alpha,,20,96,30,2,66,154,12,0,23,35,0,0,Beta,Grappled,,,62,192,541,,,defender-wins,Grapple,,
Alpha,28,0,2,30,0,0,154,,0,64,35,0,29,Beta,Prone,1,2,63,192,541,,20,attacker-wins,Trip,pass,Legs
Alpha,,0,33,30,0,3,154,,0,40,35,0,5,Beta,Disarm,,,64,192,541,,,repeat,Disarm,,
Alpha,,0,48,30,0,18,154,,0,69,35,0,34,Beta,Equipment Damage,,,65,192,541,,,repeat,Equipment Damage,,
Beta,,15,88,30,1,58,154,11,0,27,38,0,0,Alpha,Inflict Injury,,,66,526,192,,,defender-wins,Attack,,
Beta,,18,68,31,1,37,154,24,0,14,38,0,0,Alpha,Grappled,,,67,508,192,,,defender-wins,Grapple,,
Beta,,32,82,27,2,55,154,,0,96,38,1,58,Alpha,Prone,,,68,476,192,,,repeat,Trip,,
Beta,13,0,14,27,0,0,154,,0,52,39,0,13,Alpha,Disarm,,2,69,476,179,13,41,attacker-wins,Disarm,fail-and-fall-back,Torso
Beta,11,0,16,27,0,0,154,,0,40,39,0,1,Alpha,Equipment Damage,1,2,70,476,179,,61,attacker-wins,Equipment Damage,pass,Arms
Alpha,31,0,3,34,0,0,154,,0,65,35,0,30,Beta,Inflict Injury,,,71,179,445,31,,attacker-wins,Attack,,
Alpha,,0,65,32,1,33,154,,0,62,35,0,27,Beta,Grappled,,,72,179,445,,,repeat,Grapple,,
Alpha,,0,100,30,2,70,154,,0,54,35,0,19,Beta,Prone,,,73,179,445,,,repeat,Trip,,
Alpha,,0,40,30,0,10,154,,0,83,35,1,48,Beta,Disarm,,,74,179,445,,,repeat,Disarm,,
Alpha,,0,94,30,2,64,154,24,0,12,36,0,0,Beta,Equipment Damage,,,75,179,445,,,defender-wins,Equipment Damage,,
Beta,20,0,11,31,0,0,154,26,0,13,39,0,0,Alpha,Inflict Injury,,,76,445,179,,,defender-wins,Attack,,
Beta,,0,90,32,1,58,154,,0,42,39,0,3,Alpha,Grappled,,,77,445,179,,,repeat,Grapple,,
Beta,9,0,20,29,0,0,154,37,0,2,39,0,0,Alpha,Prone,,,78,445,179,,,defender-wins,Trip,,
Beta,17,0,10,27,0,0,154,,0,43,39,0,4,Alpha,Disarm,,2,79,445,162,17,1,attacker-wins,Disarm,fail-and-fall-back,Legs
Beta,,0,53,27,0,26,154,,0,60,39,0,21,Alpha,Equipment Damage,,,80,445,162,,,repeat,Equipment Damage,,
Alpha,10,0,24,34,0,0,154,,0,59,36,0,23,Beta,Inflict Injury,,,81,162,435,10,,attacker-wins,Attack,,
Alpha,,0,71,33,1,38,154,24,0,12,36,0,0,Beta,Grappled,,,82,162,435,,,defender-wins,Grapple,,
Alpha,,0,64,32,1,32,154,,0,89,36,1,53,Beta,Prone,,,83,162,435,,,repeat,Trip,,
Alpha,,0,65,30,1,35,154,,0,89,37,1,52,Beta,Disarm,,,84,162,435,,,repeat,Disarm,,
Alpha,,0,69,32,1,37,154,,0,68,38,0,30,Beta,Equipment Damage,,,85,162,435,,,repeat,Equipment Damage,,
Beta,6,0,25,31,0,0,154,,0,60,39,0,21,Alpha,Inflict Injury,,,86,435,156,6,,attacker-wins,Attack,,
Beta,,0,69,33,1,36,154,,0,66,39,0,27,Alpha,Grappled,,,87,435,156,,,repeat,Grapple,,
Beta,,17,77,29,1,48,154,8,0,31,39,0,0,Alpha,Prone,,,88,418,156,,,defender-wins,Trip,,
Beta,,42,92,27,2,65,154,,0,69,39,0,30,Alpha,Disarm,,,89,376,156,,,repeat,Disarm,,
Beta,,0,48,27,0,21,154,12,0,27,39,0,0,Alpha,Equipment Damage,,,90,376,156,,,defender-wins,Equipment Damage,,
Alpha,19,0,15,34,0,0,154,28,0,10,38,0,0,Beta,Inflict Injury,,,91,156,376,,,defender-wins,Attack,,
Alpha,,0,76,34,1,42,154,,0,82,38,1,44,Beta,Grappled,,,92,156,376,,,repeat,Grapple,,
Alpha,15,0,18,33,0,0,154,,28,88,39,1,49,Beta,Prone,1,2,93,156,348,,81,attacker-wins,Trip,pass,Head
Alpha,,0,56,31,0,25,154,,12,62,40,0,22,Beta,Disarm,,,94,156,336,,,repeat,Disarm,,
Alpha,,0,60,33,0,27,154,,19,69,40,0,29,Beta,Equipment Damage,,,95,156,317,,,repeat,Equipment Damage,,
Beta,22,0,9,31,0,0,154,38,0,1,39,0,0,Alpha,Inflict Injury,,,96,317,156,,,defender-wins,Attack,,
Beta,10,0,24,34,0,0,154,,0,43,39,0,4,Alpha,Grappled,1,2,97,317,156,,42,attacker-wins,Grapple,pass,Torso
Beta,8,0,22,30,0,0,154,38,0,1,39,0,0,Alpha,Prone,,,98,317,156,,,defender-wins,Trip,,
Beta,,0,30,29,0,1,154,,0,100,39,1,61,Alpha,Disarm,,,99,317,156,,,repeat,Disarm,,
Beta,,0,50,27,0,23,154,,0,81,40,1,41,Alpha,Equipment Damage,,,100,317,156,,,repeat,Equipment Damage,,
Alpha,,0,57,34,0,23,154,,0,95,40,1,55,Beta,Inflict Injury,,,101,156,317,,,repeat,Attack,,
Alpha,22,0,13,35,0,0,154,,0,96,41,1,55,Beta,Grappled,1,2,102,156,317,,31,attacker-wins,Grapple,pass,Torso
Alpha,,0,99,33,1,66,154,36,0,6,42,0,0,Beta,Prone,,,103,156,317,,,defender-wins,Trip,,
Alpha,,48,98,31,2,67,154,,0,68,42,0,26,Beta,Disarm,,,104,108,317,,,repeat,Disarm,,
Alpha,3,0,30,33,0,0,154,,14,99,42,1,57,Beta,Equipment Damage,,2,105,108,300,3,3,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,16,0,15,31,0,0,154,,7,77,41,0,36,Alpha,Inflict Injury,,,106,300,85,16,,attacker-wins,Attack,,
Beta,,0,71,34,1,37,154,16,0,25,41,0,0,Alpha,Grappled,,,107,300,85,,,defender-wins,Grapple,,
Beta,,34,98,30,2,68,154,,0,55,41,0,14,Alpha,Prone,,,108,266,85,,,repeat,Trip,,
Beta,,40,90,29,2,61,154,,0,45,41,0,4,Alpha,Disarm,,,109,226,85,,,repeat,Disarm,,
Beta,,29,79,27,1,52,154,,0,73,41,0,32,Alpha,Equipment Damage,,,110,197,85,,,repeat,Equipment Damage,,
Alpha,22,0,12,34,0,0,154,,2,52,43,0,9,Beta,Inflict Injury,,,111,85,173,22,,attacker-wins,Attack,,
Alpha,10,0,25,35,0,0,154,26,0,17,43,0,0,Beta,Grappled,,,112,85,173,,,defender-wins,Grapple,,
Alpha,,0,71,34,1,37,154,,0,65,43,0,22,Beta,Prone,,,113,85,173,,,repeat,Trip,,
Alpha,31,0,2,33,0,0,154,38,0,5,43,0,0,Beta,Disarm,,,114,85,173,,,defender-wins,Disarm,,
Alpha,19,0,14,33,0,0,154,24,0,19,43,0,0,Beta,Equipment Damage,,,115,85,173,,,defender-wins,Equipment Damage,,
Beta,,0,83,31,1,52,154,19,0,22,41,0,0,Alpha,Inflict Injury,,,116,173,85,,,defender-wins,Attack,,
Beta,11,0,24,35,0,0,154,,0,86,41,1,45,Alpha,Grappled,1,2,117,173,85,,42,attacker-wins,Grapple,pass,Torso
Beta,,0,100,32,2,68,154,21,0,21,42,0,0,Alpha,Prone,,,118,173,85,,,defender-wins,Trip,,
Beta,,0,36,31,0,5,154,20,0,22,42,0,0,Alpha,Disarm,,,119,173,85,,,defender-wins,Disarm,,
Beta,,0,72,28,1,44,154,12,0,30,42,0,0,Alpha,Equipment Damage,,,120,173,85,,,defender-wins,Equipment Damage,,
Alpha,,0,93,34,1,59,154,37,0,6,43,0,0,Beta,Inflict Injury,,,121,85,173,,,defender-wins,Attack,,
Alpha,,0,42,35,0,7,154,,0,72,43,0,29,Beta,Grappled,,,122,85,173,,,repeat,Grapple,,
Alpha,28,0,7,35,0,0,154,21,0,22,43,0,0,Beta,Prone,1,2,123,85,173,,70,attacker-wins,Trip,pass,Arms
Alpha,,0,53,33,0,20,154,,0,58,43,0,15,Beta,Disarm,,,124,85,173,,,repeat,Disarm,,
Alpha,30,0,3,33,0,0,154,27,0,16,43,0,0,Beta,Equipment Damage,1,2,125,85,173,,30,attacker-wins,Equipment Damage,pass,Torso
Beta,,0,81,32,1,49,154,,0,57,42,0,15,Alpha,Inflict Injury,,,126,173,85,,,repeat,Attack,,
Beta,28,0,7,35,0,0,154,,0,82,42,0,40,Alpha,Grappled,1,2,127,173,85,,70,attacker-wins,Grapple,pass,Arms
Beta,,0,79,34,1,45,154,,0,46,42,0,4,Alpha,Prone,,,128,173,85,,,repeat,Trip,,
Beta,,0,44,31,0,13,154,31,0,11,42,0,0,Alpha,Disarm,,,129,173,85,,,defender-wins,Disarm,,
Beta,,0,39,29,0,10,154,39,0,3,42,0,0,Alpha,Equipment Damage,,,130,173,85,,,defender-wins,Equipment Damage,,
